FIPS,County,State,ElderVulnerabilityIndex,SocioeconomicVulnerability,HouseholdCompositionDisability,MinorityStatusLanguage,HousingTransportation,Tier
5129,Searcy County,Arkansas,0.46789,0.6847,0.5011,0.3484,0.3086,Tier 3: Moderate
5131,Sebastian County,Arkansas,0.76618,0.7957,0.9675,0.6962,0.6491,Tier 1: Critical
5133,Sevier County,Arkansas,0.73568,0.8256,0.8864,0.833,0.4804,Tier 2: High
5135,Sharp County,Arkansas,0.51061,0.728,0.7808,0.2364,0.2959,Tier 2: High
5137,Stone County,Arkansas,0.67228,0.7731,0.8336,0.2733,0.7299,Tier 2: High
5139,Union County,Arkansas,0.63824,0.5485,0.7668,0.7798,0.5479,Tier 2: High
5141,Van Buren County,Arkansas,0.65987,0.8101,0.8661,0.2164,0.6678,Tier 2: High
5143,Washington County,Arkansas,0.70601,0.7407,0.4871,0.7178,0.8094,Tier 2: High
5145,White County,Arkansas,0.7548199999999999,0.7716,0.7878,0.4057,0.9488,Tier 1: Critical
5147,Woodruff County,Arkansas,0.69524,0.7859,0.6767,0.6752,0.6303,Tier 2: High
5149,Yell County,Arkansas,0.71889,0.5714,0.8276,0.6211,0.8591,Tier 2: High
6001,Alameda County,California,0.57435,0.2962,0.0862,0.9605,0.9205,Tier 2: High
6003,Alpine County,California,0.49163,0.1429,0.6402,0.8008,0.5352,Tier 3: Moderate
6005,Amador County,California,0.56758,0.4477,0.398,0.6096,0.7725,Tier 2: High
6007,Butte County,California,0.74727,0.7706,0.4843,0.6806,0.9437,Tier 2: High
6009,Calaveras County,California,0.38569,0.5425,0.4706,0.552,0.0614,Tier 3: Moderate
6011,Colusa County,California,0.7372000000000001,0.8931,0.9026,0.9465,0.3315,Tier 2: High
6013,Contra Costa County,California,0.52034,0.3223,0.4343,0.917,0.5113,Tier 2: High
6015,Del Norte County,California,0.81483,0.7814,0.6395,0.7735,0.9927,Tier 1: Critical
6017,El Dorado County,California,0.28070000000000006,0.1836,0.2008,0.5994,0.2186,Tier 3: Moderate
6019,Fresno County,California,0.9145399999999999,0.943,0.8772,0.9685,0.875,Tier 1: Critical
6021,Glenn County,California,0.76515,0.945,0.6443,0.8734,0.5937,Tier 1: Critical
6023,Humboldt County,California,0.75994,0.7805,0.6538,0.6475,0.8851,Tier 1: Critical
6025,Imperial County,California,0.97086,0.9682,0.9392,0.9943,0.979,Tier 1: Critical
6027,Inyo County,California,0.61864,0.4162,0.5234,0.7881,0.7716,Tier 2: High
6029,Kern County,California,0.9227299999999998,0.957,0.8339,0.9545,0.9265,Tier 1: Critical
6031,Kings County,California,0.90287,0.9354,0.839,0.9593,0.8753,Tier 1: Critical
6033,Lake County,California,0.82735,0.8696,0.9236,0.7089,0.7999,Tier 1: Critical
6035,Lassen County,California,0.7456099999999999,0.861,0.3748,0.7464,0.8769,Tier 2: High
6037,Los Angeles County,California,0.7949999999999999,0.895,0.2825,0.9736,0.9176,Tier 1: Critical
6039,Madera County,California,0.89414,0.9567,0.9036,0.9532,0.7859,Tier 1: Critical
6041,Marin County,California,0.45696000000000003,0.1616,0.3637,0.6764,0.6682,Tier 3: Moderate
6043,Mariposa County,California,0.7788299999999999,0.6542,0.922,0.5711,0.9465,Tier 1: Critical
6045,Mendocino County,California,0.89642,0.8934,0.9803,0.749,0.9418,Tier 1: Critical
6047,Merced County,California,0.91973,0.973,0.888,0.9736,0.8517,Tier 1: Critical
6049,Modoc County,California,0.74196,0.693,0.8998,0.5927,0.7852,Tier 2: High
6051,Mono County,California,0.49596,0.4143,0.02,0.7321,0.7375,Tier 3: Moderate
6053,Monterey County,California,0.8188799999999999,0.8272,0.581,0.964,0.8724,Tier 1: Critical
6055,Napa County,California,0.66683,0.4983,0.4127,0.8702,0.8692,Tier 2: High
6057,Nevada County,California,0.28221,0.3013,0.2444,0.4699,0.1632,Tier 3: Moderate
6059,Orange County,California,0.5813699999999999,0.5412,0.1791,0.9252,0.6605,Tier 2: High
6061,Placer County,California,0.30993000000000004,0.1212,0.3182,0.6793,0.2469,Tier 3: Moderate
6063,Plumas County,California,0.42926,0.3659,0.3672,0.4948,0.4903,Tier 3: Moderate
6065,Riverside County,California,0.7679,0.7948,0.6736,0.9504,0.6822,Tier 1: Critical
6067,Sacramento County,California,0.71682,0.6255,0.636,0.9084,0.7343,Tier 2: High
6069,San Benito County,California,0.5263100000000001,0.5072,0.6685,0.9564,0.1639,Tier 2: High
6071,San Bernardino County,California,0.83658,0.8896,0.7563,0.9726,0.7464,Tier 1: Critical
6073,San Diego County,California,0.67538,0.6281,0.2202,0.9007,0.8759,Tier 2: High
6075,San Francisco County,California,0.5648299999999999,0.2876,0.0302,0.9284,0.9561,Tier 2: High
6077,San Joaquin County,California,0.82374,0.8075,0.8174,0.9637,0.7509,Tier 1: Critical
6079,San Luis Obispo County,California,0.54009,0.4254,0.2256,0.7038,0.7553,Tier 2: High
6081,San Mateo County,California,0.45251,0.1292,0.0655,0.9351,0.7121,Tier 3: Moderate
6083,Santa Barbara County,California,0.78986,0.8419,0.3401,0.9065,0.9599,Tier 1: Critical
6085,Santa Clara County,California,0.49607,0.1349,0.0859,0.9612,0.8206,Tier 3: Moderate
6087,Santa Cruz County,California,0.61494,0.4948,0.1327,0.8225,0.9182,Tier 2: High
6089,Shasta County,California,0.7006300000000001,0.6096,0.833,0.5679,0.7919,Tier 2: High
6091,Sierra County,California,0.35918,0.5994,0.2599,0.3888,0.1654,Tier 3: Moderate
6093,Siskiyou County,California,0.7185100000000001,0.7649,0.7458,0.6185,0.7206,Tier 2: High
6095,Solano County,California,0.6306,0.4499,0.5186,0.9415,0.6787,Tier 2: High
6097,Sonoma County,California,0.57224,0.4108,0.4025,0.7706,0.7146,Tier 2: High
6099,Stanislaus County,California,0.7826299999999999,0.8482,0.8323,0.9252,0.5889,Tier 1: Critical
6101,Sutter County,California,0.78801,0.8444,0.8874,0.9036,0.5883,Tier 1: Critical
6103,Tehama County,California,0.8215300000000001,0.8253,0.9892,0.7213,0.7728,Tier 1: Critical
6105,Trinity County,California,0.64055,0.769,0.7388,0.5444,0.5107,Tier 2: High
6107,Tulare County,California,0.8238300000000001,0.9602,0.8524,0.9707,0.5705,Tier 1: Critical
6109,Tuolumne County,California,0.60401,0.5501,0.622,0.5415,0.6876,Tier 2: High
6111,Ventura County,California,0.613,0.5921,0.3312,0.9017,0.6293,Tier 2: High
6113,Yolo County,California,0.6862900000000001,0.6198,0.1572,0.8966,0.9653,Tier 2: High
6115,Yuba County,California,0.8735600000000001,0.8651,0.9109,0.8616,0.8651,Tier 1: Critical
8001,Adams County,Colorado,0.68005,0.6825,0.6758,0.8832,0.545,Tier 2: High
8003,Alamosa County,Colorado,0.7849200000000001,0.5721,0.7658,0.889,0.9411,Tier 1: Critical
8005,Arapahoe County,Colorado,0.48792,0.4101,0.4038,0.8031,0.4117,Tier 3: Moderate
8007,Archuleta County,Colorado,0.37507,0.5237,0.1473,0.5969,0.2304,Tier 3: Moderate
8009,Baca County,Colorado,0.52695,0.5463,0.4566,0.4839,0.5832,Tier 2: High
8011,Bent County,Colorado,0.78463,0.8937,0.2692,0.8377,0.9838,Tier 1: Critical
8013,Boulder County,Colorado,0.36614,0.2202,0.0169,0.5892,0.5962,Tier 3: Moderate
8014,Broomfield County,Colorado,0.17693,0.0353,0.0557,0.6128,0.1088,Tier 4: Low
8015,Chaffee County,Colorado,0.57332,0.5657,0.693,0.4378,0.5915,Tier 2: High
8017,Cheyenne County,Colorado,0.22513000000000002,0.0843,0.4197,0.5294,0.0334,Tier 4: Low
8019,Clear Creek County,Colorado,0.23514,0.3245,0.0356,0.4018,0.1677,Tier 4: Low
8021,Conejos County,Colorado,0.7691,0.8062,0.8311,0.8931,0.608,Tier 1: Critical
8023,Costilla County,Colorado,0.7178500000000001,0.8511,0.9965,0.9462,0.2466,Tier 2: High
8025,Crowley County,Colorado,0.7951600000000001,0.8823,0.5864,0.8571,0.8059,Tier 1: Critical
8027,Custer County,Colorado,0.19553,0.2905,0.0404,0.377,0.083,Tier 4: Low
8029,Delta County,Colorado,0.53906,0.6312,0.7086,0.5383,0.3344,Tier 2: High
8031,Denver County,Colorado,0.5987199999999999,0.546,0.057,0.8447,0.8486,Tier 2: High
8033,Dolores County,Colorado,0.30069999999999997,0.0923,0.2673,0.5819,0.3439,Tier 3: Moderate
8035,Douglas County,Colorado,0.14495,0.0083,0.078,0.5383,0.064,Tier 4: Low
8037,Eagle County,Colorado,0.42072,0.4219,0.0719,0.7321,0.4445,Tier 3: Moderate
8039,Elbert County,Colorado,0.09288,0.0038,0.0127,0.4445,0.001,Tier 4: Low
8041,El Paso County,Colorado,0.48041999999999996,0.4168,0.3153,0.7038,0.5052,Tier 3: Moderate
8043,Fremont County,Colorado,0.62856,0.5889,0.4286,0.5542,0.8511,Tier 2: High
8045,Garfield County,Colorado,0.59784,0.5002,0.5247,0.7191,0.6634,Tier 2: High
8047,Gilpin County,Colorado,0.24614,0.2491,0.0064,0.4416,0.2727,Tier 4: Low
8049,Grand County,Colorado,0.29083000000000003,0.3891,0.0089,0.4932,0.2456,Tier 3: Moderate
8051,Gunnison County,Colorado,0.32928999999999997,0.2116,0.0022,0.4273,0.5997,Tier 3: Moderate
8053,Hinsdale County,Colorado,0.21973000000000004,0.2335,0.4419,0.2984,0.0054,Tier 4: Low
8055,Huerfano County,Colorado,0.52464,0.5778,0.5075,0.7636,0.3236,Tier 2: High
